Age,Gender,Occupation,Monthly_Income
62,Female,Working Professional,42103
18,Male,Retired,78799
42,Male,Student,73517
24,Female,Student,36017
26,Female,Working Professional,50072
41,Male,Retired,54367
18,Male,Self-Employed,53681
61,Female,Working Professional,55552
25,Female,Student,57428
41,Female,Working Professional,44637
28,Female,Self-Employed,42090
34,Male,Retired,54651
25,Male,Student,45033
52,Male,Self-Employed,54958
52,Male,Working Professional,87468
50,Female,Retired,59231
22,Male,Retired,70556
59,Other,Student,76477
56,Female,Student,42761
58,Female,Retired,63583
45,Female,Retired,78943
24,Female,Student,55121
26,Male,Retired,55530
25,Female,Self-Employed,65952
29,Female,Student,29109
51,Female,Self-Employed,39250
50,Female,Retired,54602
40,Male,Self-Employed,63964
41,Female,Retired,49249
54,Male,Working Professional,49153
52,Female,Retired,79120
61,Male,Student,22627
57,Male,Working Professional,59591
39,Female,Student,61755
44,Other,Student,34912
52,Male,Student,58110
18,Female,Working Professional,55960
52,Female,Student,65146
54,Female,Student,49424
64,Female,Retired,8998
31,Female,Retired,58383
20,Female,Working Professional,40909
18,Female,Student,62670
22,Male,Student,52478
43,Male,Self-Employed,68875
31,Female,Working Professional,44616
56,Female,Retired,37691
44,Female,Student,46548
26,Female,Retired,19734
32,Male,Retired,35101
32,Female,Self-Employed,40926
43,Male,Retired,18835
59,Female,Retired,50466
30,Male,Retired,49019
49,Male,Working Professional,43887
56,Male,Working Professional,39150
49,Female,Student,11617
21,Male,Retired,51397
47,Male,Self-Employed,29975
54,Male,Student,66153
40,Male,Self-Employed,56621
56,Female,Self-Employed,70884
62,Female,Student,56967
32,Female,Self-Employed,25636
60,Male,Working Professional,58002
46,Male,Student,41284
53,Male,Self-Employed,43738
30,Male,Retired,64947
49,Male,Student,36635
24,Male,Self-Employed,43925
39,Male,Self-Employed,26044
45,Male,Self-Employed,63893
19,Male,Self-Employed,28606
59,Male,Self-Employed,69587
62,Female,Student,49635
23,Male,Student,39173
45,Female,Retired,61629
45,Female,Self-Employed,43955
61,Male,Working Professional,89528
61,Female,Self-Employed,62493
37,Male,Student,75384
47,Female,Student,61656
28,Male,Student,55491
45,Female,Working Professional,26667
42,Male,Working Professional,47616
56,Other,Working Professional,70755
50,Male,Student,88622
18,Female,Student,47903
44,Female,Student,54271
30,Female,Student,31753
58,Female,Self-Employed,44096
20,Male,Working Professional,44247
56,Male,Self-Employed,23801
23,Female,Retired,64276
25,Male,Working Professional,62321
44,Male,Self-Employed,53474
26,Female,Self-Employed,60771
54,Female,Self-Employed,51229
50,Female,Student,71600
59,Male,Self-Employed,36142
61,Female,Student,39178
41,Male,Student,56140
32,Female,Self-Employed,35366
49,Female,Student,70809
49,Female,Retired,58285
41,Male,Self-Employed,54464
58,Male,Working Professional,54482
29,Female,Retired,45119
56,Female,Working Professional,37207
19,Female,Retired,41731
20,Male,Student,71761
54,Male,Retired,53520
34,Female,Self-Employed,40616
19,Male,Student,51137
19,Female,Self-Employed,63475
45,Female,Self-Employed,40313
40,Male,Student,44520
54,Male,Student,39661
49,Male,Student,60638
50,Male,Retired,55687
18,Male,Retired,30966
36,Female,Retired,42382
19,Other,Self-Employed,48191
61,Female,Student,57906
43,Female,Student,28325
49,Male,Self-Employed,32678
23,Male,Self-Employed,53549
49,Female,Retired,55910
21,Female,Working Professional,59717
28,Female,Student,42578
34,Female,Working Professional,37209
55,Female,Self-Employed,39207
41,Male,Retired,37973
22,Female,Working Professional,47225
51,Female,Student,15464
23,Male,Student,49444
39,Male,Retired,60293
28,Male,Working Professional,60117
33,Female,Student,47857
50,Male,Student,50883
26,Male,Student,32719
23,Male,Self-Employed,61003
33,Male,Student,46070
46,Female,Self-Employed,72308
20,Female,Self-Employed,48121
37,Other,Self-Employed,52356
53,Male,Working Professional,30306
36,Female,Student,48382
43,Male,Retired,58717
20,Other,Working Professional,54487
36,Other,Self-Employed,57971
37,Female,Retired,51664
49,Male,Self-Employed,46175
24,Male,Retired,69440
58,Female,Retired,65586
50,Male,Student,12425
57,Female,Self-Employed,28463
56,Female,Student,64791
35,Male,Working Professional,37921
57,Female,Self-Employed,34755
18,Female,Self-Employed,53706
28,Female,Retired,42586
45,Male,Working Professional,28356
42,Female,Retired,48464
40,Female,Working Professional,32015
48,Male,Self-Employed,25977
47,Male,Retired,37727
59,Female,Student,68009
52,Female,Self-Employed,46306
24,Male,Student,42210
33,Male,Retired,57963
43,Male,Self-Employed,38241
19,Male,Student,28845
18,Male,Retired,44317
29,Female,Working Professional,60104
22,Male,Retired,62453
54,Female,Student,44688
49,Male,Student,56373
26,Female,Working Professional,31067
58,Female,Working Professional,48460
52,Female,Student,58964
36,Female,Retired,38815
33,Male,Working Professional,11594
20,Male,Working Professional,44898
37,Female,Student,42672
41,Male,Self-Employed,55569
50,Male,Student,51119
41,Male,Working Professional,64846
28,Male,Retired,44046
25,Male,Student,39773
53,Male,Self-Employed,28845
55,Male,Student,39857
57,Male,Working Professional,35704
37,Female,Retired,57898
52,Male,Working Professional,68609
42,Male,Retired,43026
52,Female,Retired,67735
42,Male,Retired,48344
46,Male,Student,32541
35,Male,Working Professional,81989
63,Female,Working Professional,63625
35,Male,Student,72662
19,Female,Student,32277
52,Female,Working Professional,51751
33,Male,Self-Employed,53680
58,Male,Self-Employed,52141
53,Female,Working Professional,64927
50,Female,Retired,43546
21,Female,Working Professional,52385
50,Other,Working Professional,42744
31,Male,Retired,57703
38,Male,Retired,52030
37,Female,Retired,53762
25,Female,Retired,52522
24,Male,Self-Employed,64438
20,Male,Working Professional,95691
34,Female,Student,52026
50,Male,Student,75832
29,Female,Student,42722
39,Female,Self-Employed,58535
39,Female,Student,47585
63,Male,Self-Employed,74656
47,Female,Retired,71574
55,Female,Retired,50451
55,Male,Working Professional,44491
62,Male,Self-Employed,41886
25,Male,Working Professional,37454
44,Female,Self-Employed,19327
44,Male,Working Professional,20036
51,Male,Retired,54656
38,Female,Student,34193
47,Female,Working Professional,67114
50,Female,Working Professional,78596
45,Female,Retired,43006
64,Female,Student,36022
50,Female,Self-Employed,78486
22,Female,Self-Employed,54236
36,Male,Student,52425
21,Male,Working Professional,38475
52,Female,Working Professional,67709
34,Male,Working Professional,77191
61,Male,Self-Employed,34415
45,Female,Retired,46033
47,Female,Self-Employed,54481
46,Male,Retired,64401
63,Male,Working Professional,35429
23,Male,Working Professional,47365
52,Male,Retired,60286
58,Male,Working Professional,61043
54,Female,Retired,58770
41,Male,Retired,44273
46,Female,Self-Employed,69581
63,Male,Retired,32315
48,Female,Student,46292
52,Male,Self-Employed,54883
50,Female,Working Professional,80242
38,Male,Retired,61464
49,Female,Student,57893
40,Female,Self-Employed,43875
50,Female,Self-Employed,53166
20,Female,Working Professional,44457
35,Other,Retired,57165
42,Female,Student,51881
59,Female,Student,29982
48,Male,Working Professional,77908
20,Female,Student,11225
57,Female,Self-Employed,43595
63,Male,Retired,63205
41,Female,Student,65389
49,Female,Student,38698
64,Male,Self-Employed,39925
39,Male,Self-Employed,43449
40,Female,Self-Employed,58664
19,Male,Working Professional,69929
44,Female,Self-Employed,66042
59,Male,Working Professional,23590
19,Female,Student,59313
43,Male,Self-Employed,67745
34,Male,Student,55682
57,Female,Working Professional,41695
50,Female,Student,39690
26,Female,Working Professional,47266
60,Male,Student,34453
56,Female,Student,59318
46,Male,Working Professional,57166
59,Male,Self-Employed,47271
43,Female,Retired,24706
52,Female,Student,43944
42,Female,Self-Employed,54936
41,Male,Self-Employed,80123
30,Male,Working Professional,51679
24,Female,Retired,55345
53,Female,Student,38512
62,Male,Self-Employed,58674
37,Male,Working Professional,39785
18,Male,Working Professional,45803
25,Female,Self-Employed,48586
63,Male,Self-Employed,42307
33,Male,Self-Employed,37644
31,Female,Working Professional,43503
29,Male,Student,84432
40,Female,Self-Employed,57887
32,Female,Self-Employed,63434
45,Male,Student,62799
51,Female,Student,21172
19,Female,Student,38728
49,Male,Self-Employed,59543
40,Female,Self-Employed,54812
39,Male,Student,65538
42,Male,Self-Employed,31638
39,Female,Student,38560
39,Female,Student,64382
59,Female,Retired,73288
23,Female,Working Professional,69486
32,Female,Self-Employed,78307
60,Female,Student,23514
54,Female,Student,42823
50,Male,Self-Employed,48574
25,Female,Retired,48257
61,Male,Retired,56995
61,Male,Student,40988
22,Male,Self-Employed,48042
56,Female,Working Professional,53224
21,Female,Working Professional,93441
23,Other,Retired,35727
62,Female,Student,60567
49,Female,Self-Employed,38240
47,Male,Self-Employed,42098
64,Male,Student,26824
52,Male,Self-Employed,50719
57,Male,Self-Employed,28172
33,Female,Student,69191
30,Female,Retired,40893
59,Male,Self-Employed,34415
47,Female,Working Professional,69052
36,Female,Working Professional,44568
34,Male,Working Professional,13729
36,Female,Self-Employed,48653
45,Male,Working Professional,65039
43,Female,Retired,67733
54,Female,Student,73351
43,Male,Retired,74354
40,Other,Working Professional,69763
26,Female,Self-Employed,77847
29,Female,Self-Employed,65419
18,Female,Retired,51332
18,Female,Self-Employed,78493
64,Male,Working Professional,54171
51,Female,Student,52763
49,Female,Self-Employed,86936
42,Male,Self-Employed,47570
57,Male,Student,44822
62,Female,Working Professional,61063
18,Female,Retired,78294
33,Female,Working Professional,28983
56,Female,Working Professional,51352
22,Female,Self-Employed,45958
39,Female,Self-Employed,49941
46,Male,Working Professional,64556
20,Female,Working Professional,58192
29,Female,Student,58664
43,Female,Self-Employed,35510
33,Female,Retired,45161
54,Male,Working Professional,65550
39,Male,Student,67652
46,Female,Retired,45845
31,Female,Retired,56725
45,Male,Self-Employed,47033
22,Female,Retired,56778
64,Male,Self-Employed,64988
47,Female,Working Professional,15111
63,Male,Student,63304
22,Female,Student,57039
29,Male,Working Professional,34927
33,Male,Self-Employed,65353
43,Female,Student,68395
43,Female,Working Professional,59003
38,Male,Self-Employed,47936
56,Female,Working Professional,63418
53,Female,Working Professional,49014
50,Male,Student,33740
47,Female,Student,64331
54,Male,Working Professional,34734
40,Female,Student,57848
27,Female,Student,37733
22,Male,Working Professional,47389
53,Male,Working Professional,50937
51,Female,Working Professional,43377
48,Male,Working Professional,56774
27,Male,Self-Employed,77328
36,Male,Working Professional,33602
49,Female,Working Professional,64602
18,Male,Working Professional,69467
22,Male,Student,41923
62,Female,Student,60561
21,Male,Retired,61967
33,Male,Student,40684
41,Female,Working Professional,51382
33,Female,Working Professional,34437
19,Female,Self-Employed,47866
45,Male,Working Professional,54242
49,Male,Self-Employed,49433
44,Male,Student,62349
37,Male,Self-Employed,68873
41,Female,Retired,45760
29,Female,Student,33962
52,Female,Student,72882
50,Male,Self-Employed,28924
50,Male,Self-Employed,68879
60,Female,Working Professional,48532
54,Male,Self-Employed,43078
29,Male,Working Professional,41912
20,Male,Working Professional,34326
18,Female,Retired,79237
50,Male,Self-Employed,38867
57,Other,Self-Employed,36445
27,Male,Retired,17244
60,Other,Retired,43842
61,Male,Student,35146
46,Female,Student,42576
30,Female,Working Professional,63621
29,Female,Retired,29432
48,Female,Working Professional,36698
63,Female,Retired,41432
19,Male,Student,53490
52,Female,Retired,33791
40,Female,Working Professional,51256
34,Male,Student,33106
43,Female,Retired,40944
25,Male,Working Professional,36440
46,Female,Student,44373
43,Male,Student,37297
27,Male,Self-Employed,33113
43,Female,Working Professional,15339
51,Other,Self-Employed,43204
58,Male,Self-Employed,54307
24,Male,Self-Employed,49971
21,Male,Working Professional,44941
62,Male,Retired,45604
28,Female,Self-Employed,44870
46,Male,Student,65751
53,Female,Student,57124
42,Female,Working Professional,57147
38,Female,Self-Employed,37710
53,Male,Retired,46839
27,Female,Self-Employed,58852
54,Female,Retired,57901
26,Male,Self-Employed,54253
41,Female,Student,31839
52,Male,Student,68713
52,Male,Self-Employed,59739
53,Other,Working Professional,55418
35,Female,Retired,34880
56,Female,Self-Employed,40485
49,Male,Working Professional,41738
41,Female,Retired,63912
40,Male,Self-Employed,49732
49,Female,Student,59093
54,Female,Working Professional,64070
29,Male,Student,41017
30,Female,Self-Employed,25244
40,Male,Student,21733
42,Male,Retired,35447
52,Male,Self-Employed,60901
58,Male,Student,54250
47,Female,Student,43251
34,Female,Self-Employed,66167
37,Male,Retired,27745
42,Female,Student,41117
39,Male,Retired,52523
30,Female,Self-Employed,18237
36,Female,Student,40386
53,Female,Working Professional,52409
29,Female,Working Professional,70840
58,Male,Student,61561
36,Female,Retired,57776
29,Male,Student,22187
26,Female,Retired,51326
24,Other,Self-Employed,69298
45,Female,Working Professional,53856
31,Male,Retired,64564
48,Male,Retired,60841
36,Male,Working Professional,70897
64,Female,Student,38005
33,Female,Self-Employed,47918
22,Female,Self-Employed,34385
52,Female,Self-Employed,56278
29,Male,Self-Employed,54730
42,Other,Working Professional,44210
38,Female,Working Professional,98642
53,Male,Retired,72462
40,Female,Student,37653
33,Female,Student,27726
56,Female,Self-Employed,44994
62,Other,Self-Employed,39500
59,Female,Working Professional,58756
56,Male,Student,55098
31,Male,Working Professional,67476
48,Male,Self-Employed,51338
22,Male,Self-Employed,53319
52,Male,Retired,27211
40,Male,Working Professional,70362
46,Male,Retired,72662
60,Male,Student,65502
28,Female,Self-Employed,58070
35,Female,Retired,55233
64,Male,Working Professional,35178
29,Male,Student,84092
26,Female,Student,58446
27,Male,Working Professional,45572
61,Male,Student,44050
34,Female,Working Professional,40679
55,Female,Student,50273
24,Male,Self-Employed,32703
63,Male,Self-Employed,61095
30,Male,Self-Employed,49114
57,Female,Self-Employed,44487
59,Female,Self-Employed,70507
26,Male,Student,36637
44,Male,Student,48160
19,Female,Working Professional,39567
22,Male,Self-Employed,24177
46,Other,Working Professional,35627
54,Male,Student,49909
55,Male,Working Professional,64922
36,Male,Working Professional,43074
25,Female,Student,43862
62,Female,Working Professional,45897
18,Female,Retired,37759
39,Male,Self-Employed,58446
34,Female,Working Professional,15815
24,Male,Retired,74460
42,Female,Retired,46124
62,Male,Working Professional,45501
21,Male,Retired,64095
53,Other,Self-Employed,53723
23,Female,Retired,65037
48,Female,Retired,40129
36,Male,Working Professional,47248
61,Male,Retired,42167
56,Female,Retired,61349
44,Male,Retired,35483
27,Male,Student,43176
43,Female,Retired,43887
36,Male,Self-Employed,73786
56,Other,Self-Employed,70128
20,Male,Working Professional,32520
62,Female,Retired,38738
30,Female,Student,54919
45,Male,Self-Employed,39365
37,Female,Retired,27789
45,Female,Working Professional,72260
25,Female,Working Professional,63417
58,Female,Working Professional,60469
56,Male,Working Professional,40039
18,Female,Student,62879
20,Female,Retired,28848
30,Female,Student,72465
45,Male,Retired,59545
42,Female,Retired,47670
50,Male,Student,56196
55,Male,Retired,57735
23,Female,Working Professional,80304
61,Male,Student,29955
62,Female,Student,41683
49,Female,Working Professional,72665
62,Male,Student,82978
64,Female,Self-Employed,29466
38,Female,Student,48361
33,Female,Retired,20090
38,Female,Retired,73380
28,Male,Retired,51733
54,Male,Student,81042
53,Other,Retired,63935
52,Female,Student,42152
36,Male,Self-Employed,55122
37,Other,Self-Employed,61841
35,Male,Self-Employed,57888
64,Male,Self-Employed,63956
58,Other,Self-Employed,33126
31,Female,Self-Employed,44293
32,Female,Working Professional,35730
48,Male,Student,66843
18,Male,Self-Employed,32320
20,Male,Working Professional,52879
33,Female,Retired,73270
40,Male,Self-Employed,51167
28,Male,Working Professional,56252
29,Other,Self-Employed,18550
27,Other,Working Professional,34517
49,Male,Retired,53402
33,Male,Student,62842
25,Female,Retired,59926
55,Male,Student,62148
29,Female,Self-Employed,63220
41,Female,Self-Employed,67252
45,Male,Retired,44329
25,Male,Self-Employed,43456
45,Female,Working Professional,66846
53,Female,Student,64854
43,Male,Student,60277
25,Female,Self-Employed,26118
45,Female,Working Professional,43351
45,Male,Retired,58186
54,Male,Working Professional,52135
58,Male,Self-Employed,42322
53,Female,Retired,50100
44,Female,Student,61465
34,Male,Student,70420
26,Male,Working Professional,38815
50,Male,Working Professional,44938
37,Other,Retired,44564
30,Female,Working Professional,63714
45,Female,Self-Employed,74645
46,Female,Self-Employed,45091
30,Male,Self-Employed,28499
63,Female,Retired,33950
52,Female,Self-Employed,53558
23,Male,Self-Employed,53043
35,Female,Retired,44973
22,Female,Working Professional,56161
64,Female,Self-Employed,36621
42,Male,Working Professional,29682
19,Female,Working Professional,60290
27,Female,Working Professional,66284
47,Male,Self-Employed,59388
62,Female,Self-Employed,31070
22,Female,Self-Employed,68473
50,Female,Working Professional,61443
18,Male,Self-Employed,38282
35,Female,Student,27376
49,Male,Student,41876
64,Male,Self-Employed,60806
28,Female,Student,51064
38,Male,Student,58846
43,Male,Working Professional,26768
42,Female,Student,62822
39,Female,Self-Employed,19131
44,Male,Retired,34489
30,Male,Working Professional,64672
50,Female,Retired,43480
51,Male,Working Professional,46392
58,Female,Student,21768
52,Male,Working Professional,65360
18,Other,Student,42073
38,Female,Working Professional,56138
23,Male,Retired,34299
45,Male,Student,72634
34,Male,Self-Employed,47880
22,Female,Working Professional,60825
48,Male,Retired,39196
22,Male,Working Professional,43832
55,Male,Working Professional,43205
20,Male,Working Professional,46865
40,Male,Student,61173
54,Female,Student,59484
54,Female,Working Professional,54325
27,Female,Student,61664
27,Male,Retired,59618
36,Male,Self-Employed,53868
34,Female,Student,33996
38,Female,Student,57664
31,Female,Student,42212
26,Female,Student,63505
63,Female,Student,48197
18,Female,Retired,49258
62,Female,Student,55627
30,Male,Retired,43936
21,Female,Self-Employed,47884
18,Male,Self-Employed,53874
57,Male,Student,44990
49,Female,Working Professional,44247
51,Female,Student,52145
45,Other,Student,53806
48,Male,Working Professional,54215
25,Female,Student,10462
56,Female,Student,60339
43,Male,Student,81210
51,Female,Retired,67537
20,Female,Retired,48912
29,Female,Self-Employed,51516
18,Male,Student,50562
61,Male,Student,58586
22,Male,Retired,49385
47,Female,Student,20445
47,Female,Student,78805
34,Female,Self-Employed,41853
64,Female,Self-Employed,66738
40,Female,Self-Employed,52278
32,Male,Self-Employed,58660
54,Female,Retired,48242
38,Female,Student,55689
31,Female,Working Professional,42768
19,Female,Working Professional,64958
28,Male,Working Professional,32799
56,Male,Student,62755
55,Female,Retired,39262
51,Male,Self-Employed,36773
55,Male,Working Professional,70609
51,Female,Self-Employed,21508
35,Female,Student,51732
47,Female,Student,45694
32,Male,Retired,65510
44,Male,Working Professional,75871
51,Male,Working Professional,50195
55,Female,Self-Employed,33216
50,Female,Working Professional,47248
41,Male,Working Professional,57076
32,Male,Student,72009
47,Male,Student,49742
59,Male,Student,68810
34,Male,Retired,64065
22,Male,Working Professional,36569
46,Female,Self-Employed,49442
21,Male,Working Professional,48926
27,Male,Working Professional,40793
34,Female,Working Professional,52261
27,Male,Retired,51455
34,Male,Student,22024
37,Female,Retired,17455
41,Female,Working Professional,39435
22,Female,Working Professional,41265
51,Male,Retired,41079
23,Male,Student,43589
19,Female,Retired,56514
30,Female,Self-Employed,58216
60,Male,Self-Employed,34437
60,Male,Self-Employed,65217
28,Male,Student,46614
64,Male,Student,53893
40,Male,Student,50469
33,Female,Working Professional,29285
48,Male,Self-Employed,60775
28,Male,Student,51583
33,Female,Student,86800
25,Female,Retired,18151
21,Male,Retired,55597
57,Male,Working Professional,74650
21,Male,Retired,78337
42,Male,Self-Employed,39641
20,Female,Retired,42956
49,Male,Student,56651
20,Female,Self-Employed,25269
44,Male,Working Professional,56753
46,Female,Retired,58134
49,Male,Self-Employed,63503
36,Female,Retired,68724
38,Female,Retired,59712
22,Male,Student,29971
35,Male,Self-Employed,67883
45,Female,Student,73164
59,Female,Self-Employed,57820
39,Male,Student,47902
38,Male,Retired,57857
23,Female,Working Professional,44553
18,Other,Retired,64108
22,Female,Retired,54357
58,Female,Self-Employed,42929
29,Male,Working Professional,28679
43,Male,Self-Employed,51228
63,Male,Retired,49162
51,Female,Self-Employed,21022
31,Female,Working Professional,48710
43,Male,Self-Employed,57157
62,Female,Working Professional,19531
44,Female,Retired,50313
26,Female,Working Professional,53155
43,Male,Retired,19990
64,Male,Student,62700
39,Female,Retired,61214
64,Female,Student,85123
47,Other,Student,60761
60,Female,Retired,36189
34,Male,Retired,54454
43,Male,Working Professional,60360
53,Male,Student,54666
18,Male,Student,52172
25,Male,Working Professional,66877
52,Female,Retired,46834
32,Female,Retired,47915
64,Male,Retired,51587
39,Male,Retired,50613
31,Female,Retired,68927
43,Female,Student,56470
45,Male,Retired,83662
40,Male,Student,37842
31,Female,Self-Employed,26590
41,Male,Self-Employed,54486
19,Other,Student,36204
62,Male,Retired,36425
43,Female,Working Professional,18402
31,Female,Self-Employed,38840
24,Male,Self-Employed,73311
20,Male,Working Professional,31351
64,Male,Self-Employed,49674
40,Male,Retired,33019
63,Male,Retired,64883
60,Female,Retired,54937
64,Male,Student,33588
62,Female,Working Professional,46858
35,Female,Retired,51565
55,Female,Retired,44872
52,Female,Self-Employed,58478
32,Female,Student,34866
42,Male,Student,36099
54,Male,Working Professional,26918
45,Male,Working Professional,64618
27,Female,Self-Employed,51064
56,Male,Retired,52162
34,Female,Retired,41536
56,Female,Student,37211
39,Female,Retired,47092
43,Male,Self-Employed,28558
61,Female,Working Professional,65059
42,Male,Self-Employed,28514
34,Female,Working Professional,41164
30,Male,Self-Employed,60435
37,Female,Retired,38387
42,Male,Self-Employed,64835
21,Female,Student,65784
27,Male,Student,79549
20,Male,Student,52843
58,Female,Retired,45628
62,Female,Self-Employed,57286
35,Male,Student,62501
64,Female,Retired,49773
53,Male,Student,67757
64,Male,Retired,48137
39,Male,Student,42979
51,Female,Student,75671
64,Male,Student,44456
25,Female,Student,95728
57,Male,Self-Employed,73532
61,Female,Working Professional,48343
36,Female,Working Professional,43952
59,Male,Retired,61696
58,Female,Working Professional,72176
54,Female,Working Professional,51210
23,Other,Student,42571
43,Male,Self-Employed,48257
51,Female,Retired,17397
62,Female,Student,48100
23,Male,Self-Employed,52695
54,Female,Student,54240
50,Female,Student,71431
39,Female,Student,56462
38,Male,Working Professional,55168
23,Female,Student,40561
23,Male,Retired,52177
21,Male,Retired,42771
47,Female,Student,70087
28,Male,Student,33477
47,Female,Retired,63003
48,Female,Self-Employed,34912
41,Male,Student,44507
26,Female,Working Professional,29289
20,Female,Self-Employed,46314
48,Male,Retired,67246
57,Male,Retired,25410
54,Male,Student,55768
53,Male,Self-Employed,49727
41,Female,Self-Employed,66774
48,Male,Working Professional,45234
23,Female,Student,75344
19,Female,Student,41816
37,Female,Student,52102
45,Male,Self-Employed,58408
28,Male,Self-Employed,54858
21,Female,Student,54724
32,Female,Student,32016
23,Male,Working Professional,62473
47,Female,Student,54117
55,Male,Working Professional,28081
19,Male,Self-Employed,71553
32,Male,Self-Employed,83590
28,Male,Student,71939
25,Female,Self-Employed,54024
43,Male,Retired,30010
62,Female,Self-Employed,28732
61,Male,Working Professional,38531
22,Female,Self-Employed,61021
23,Female,Working Professional,82778
43,Female,Self-Employed,34862
21,Female,Self-Employed,66215
36,Female,Retired,14793
37,Female,Student,35064
50,Male,Working Professional,61789
37,Female,Retired,82014
29,Male,Working Professional,69993
64,Male,Working Professional,55876
18,Male,Student,71014
43,Female,Retired,67265
31,Male,Retired,47033
55,Other,Working Professional,50293
54,Male,Retired,38523
28,Male,Retired,46059
53,Male,Retired,22872
30,Female,Self-Employed,21659
60,Female,Retired,71607
20,Female,Retired,31479
50,Male,Student,56170
23,Female,Student,57228
27,Female,Student,62347
22,Male,Working Professional,48388
40,Female,Working Professional,56958
27,Male,Retired,41916
61,Male,Retired,44263
19,Male,Student,52442
30,Female,Working Professional,73157
57,Female,Working Professional,28656
19,Female,Self-Employed,60904
37,Male,Retired,48053
18,Female,Retired,64038
54,Male,Working Professional,60828
26,Male,Self-Employed,35785
34,Female,Retired,39161
26,Female,Retired,12005
28,Female,Retired,55849
32,Male,Working Professional,44881
41,Female,Self-Employed,65444
55,Male,Student,49691
52,Female,Working Professional,52843
47,Male,Self-Employed,44018
48,Male,Working Professional,54376
22,Female,Student,55781
61,Male,Working Professional,57920
31,Female,Student,59249
28,Male,Student,50917
26,Male,Retired,54334
51,Female,Retired,34197
29,Male,Working Professional,61130
52,Other,Self-Employed,56367
52,Female,Working Professional,52514
18,Male,Retired,40926
57,Female,Self-Employed,63924
39,Other,Working Professional,47554
46,Male,Working Professional,55675
25,Female,Working Professional,58841
28,Other,Working Professional,27349
58,Male,Self-Employed,54992
54,Male,Self-Employed,45533
31,Female,Self-Employed,61837
47,Female,Self-Employed,41871
52,Female,Retired,45425
38,Female,Working Professional,36346
54,Male,Retired,34493
22,Female,Student,72190
36,Male,Retired,66745
31,Male,Self-Employed,24929
43,Male,Self-Employed,55561
21,Female,Working Professional,65253
42,Male,Student,43008
62,Male,Working Professional,38922
59,Male,Self-Employed,23130
42,Male,Student,64127
35,Other,Retired,57057
57,Male,Self-Employed,45743
25,Female,Retired,72550
56,Female,Student,46527
57,Female,Working Professional,44813
31,Female,Working Professional,57247
49,Female,Retired,68981
55,Female,Self-Employed,59625
50,Female,Working Professional,64272
40,Female,Self-Employed,56992
32,Male,Self-Employed,37730
50,Male,Retired,50971
42,Male,Student,75441
34,Male,Retired,68117
50,Female,Working Professional,67481
64,Male,Retired,49031
19,Male,Self-Employed,14523
31,Female,Working Professional,42478
57,Male,Retired,63996
57,Male,Student,28202
56,Male,Working Professional,54428
23,Male,Self-Employed,38742
23,Female,Student,56886
20,Female,Retired,35081
24,Female,Self-Employed,53751
25,Female,Self-Employed,40806
59,Female,Retired,55386
32,Male,Working Professional,30871
